SalesID,SalePrice
1222837.0,65234.5781341
1222839.0,44924.3310597
1222841.0,26379.0466849
1222843.0,11213.8682447
1222845.0,35537.7681621
1222847.0,9609.83595214
1222849.0,17739.2134201
1222850.0,17739.2134201
1222855.0,74181.3535502
1222863.0,27426.7940662
1222864.0,28667.509129
1222865.0,29738.6715778
1222867.0,45141.1032527
1222879.0,29665.8661727
1222883.0,12806.0692845
1222905.0,45238.5946283
1222908.0,76873.8189508
1222910.0,29598.3687468
1222911.0,26746.9588497
1222917.0,13891.7592622
1222918.0,17739.2134201
1222919.0,32061.2547847
1222920.0,28596.2747623
1222926.0,28596.2747623
1222969.0,22970.5830851
1222973.0,13304.7891479
1222977.0,11902.6675617
1222978.0,14488.4699702
1222980.0,13862.7132382
1222981.0,21684.5605185
1222984.0,13652.08049
1222990.0,28596.2747623
1222993.0,16209.0872991
1222997.0,23257.2547398
1222999.0,18412.009852
1223003.0,101390.964811
1223014.0,8754.43134399
1223039.0,11780.3641369
1223040.0,20162.8100268
1223041.0,64142.0732957
1223042.0,64142.0732957
1223043.0,33521.3948813
1223057.0,106796.073533
1223058.0,72668.2727261
1223059.0,68370.8801834
1223060.0,106796.073533
1223067.0,11031.1763969
1223069.0,38923.7959639
1223070.0,63847.547782
1223072.0,26712.7861381
1223073.0,33948.6964454
1223074.0,63080.9684611
1223075.0,10322.3343469
1223076.0,45905.5925015
1223077.0,10322.3343469
1223078.0,67734.0448643
1223079.0,64142.0732957
1223080.0,67734.0448643
1223081.0,64142.0732957
1223082.0,50974.8616819
1223083.0,28512.1786893
1223084.0,24825.7917175
1223091.0,28512.1786893
1223094.0,20158.0840142
1223095.0,68397.5228823
1223099.0,24578.7217368
1223101.0,11541.9445908
1223115.0,29790.0489807
1223116.0,21402.3689331
1223117.0,12716.3413497
1223118.0,16622.2903353
1223121.0,11105.7686249
1223124.0,11169.1739369
1223129.0,9870.6456194
1223130.0,9870.6456194
1223141.0,19447.1839678
1223145.0,12767.4800271
1223147.0,54411.0328544
