SalesID,SalePrice
1222837.0,55234.7078883
1222839.0,54537.7911155
1222841.0,27497.8546618
1222843.0,12083.3621274
1222845.0,35743.3082961
1222847.0,9395.16631297
1222849.0,17114.3347601
1222850.0,17114.3347601
1222855.0,71611.2545204
1222863.0,29049.0915266
1222864.0,27894.0031077
1222865.0,30040.2986229
1222867.0,42825.312442
1222879.0,29180.3618841
1222883.0,12663.1670336
1222905.0,43169.4236933
1222908.0,76672.6263244
1222910.0,29615.8321162
1222911.0,24060.43121
1222917.0,13205.8894918
1222918.0,17114.3347601
1222919.0,30244.9609808
1222920.0,27780.2333012
1222926.0,27780.2333012
1222969.0,23289.1285739
1222973.0,13006.8079549
1222977.0,13660.9186081
1222978.0,15756.9803684
1222980.0,13345.0957158
1222981.0,22288.5911984
1222984.0,14010.2424172
1222990.0,27780.2333012
1222993.0,16297.6616189
1222997.0,20846.4860971
1222999.0,18850.8571661
1223003.0,101274.345253
1223014.0,9450.32620146
1223039.0,12930.715994
1223040.0,20953.5868225
1223041.0,63469.0256872
1223042.0,63469.0256872
1223043.0,31768.8191949
1223057.0,106993.804385
1223058.0,72144.5202992
1223059.0,68347.0324245
1223060.0,106993.804385
1223067.0,11381.456023
1223069.0,39547.249622
1223070.0,64175.621391
1223072.0,26197.4219681
1223073.0,33856.9078949
1223074.0,62510.1235377
1223075.0,10274.0366714
1223076.0,45117.7271614
1223077.0,10274.0366714
1223078.0,66435.1865915
1223079.0,63469.0256872
1223080.0,66435.1865915
1223081.0,63469.0256872
1223082.0,51490.6270856
1223083.0,28419.9996708
1223084.0,27849.9319448
1223091.0,28419.9996708
1223094.0,18627.1842832
1223095.0,66871.8184368
1223099.0,26172.8556451
1223101.0,11435.0738535
1223115.0,29883.8043858
1223116.0,20983.7334626
1223117.0,12048.9843577
1223118.0,16368.1720284
1223121.0,11082.5411434
1223124.0,11204.1718837
1223129.0,9692.05400178
1223130.0,9692.05400178
1223141.0,19549.6530693
1223145.0,11981.1440398
1223147.0,55408.3998692
1223148.0,35905.2796443
1223149.0,82482.8736719
1223150.0,79403.155818
1223151.0,81505.2936303
1223152.0,91081.7943666
1223154.0,36348.7435896
1223164.0,11106.2698683
1223165.0,31124.5770042
1223169.0,22113.3918561
1223176.0,18658.8888161
1223177.0,16404.2276209
1223179.0,10905.7469871
1223180.0,14463.3689723
1223181.0,10563.1955154
1223182.0,10776.3752891
1223184.0,76670.4719729
1223185.0,10944.8516392
1223186.0,19583.8704754
1223187.0,11175.5561143
1223192.0,6494.77437516
1223193.0,13903.8471158
1223195.0,8900.10039629
1223198.0,19583.8704754
1223209.0,23737.7624648
1223211.0,11869.4166113
1223212.0,8900.10039629
1223215.0,16676.4564167
1223217.0,44047.3071784
1223226.0,10563.1955154
1223227.0,11425.0561484
1223229.0,30831.4284955
1223244.0,6104.82470751
1223245.0,6104.82470751
1223246.0,11082.5411434
1223252.0,16828.8195678
1223269.0,106023.903448
1223270.0,106993.804385
